交易日期,全收益指数代码,指数名称,收盘点位
20160630,H00015,上证红利全收益指数,3297.47
20160701,H00015,上证红利全收益指数,3307.28
20160704,H00015,上证红利全收益指数,3368.35
20160705,H00015,上证红利全收益指数,3380.29
20160706,H00015,上证红利全收益指数,3379.55
20160707,H00015,上证红利全收益指数,3379.9
20160708,H00015,上证红利全收益指数,3363.19
20160711,H00015,上证红利全收益指数,3375.16
20160712,H00015,上证红利全收益指数,3460.81
20160713,H00015,上证红利全收益指数,3479.78
20160714,H00015,上证红利全收益指数,3464.03
20160715,H00015,上证红利全收益指数,3474.71
20160718,H00015,上证红利全收益指数,3486.84
20160719,H00015,上证红利全收益指数,3475.64
20160720,H00015,上证红利全收益指数,3464.8
20160721,H00015,上证红利全收益指数,3489.44
20160722,H00015,上证红利全收益指数,3462.53
20160725,H00015,上证红利全收益指数,3477.02
20160726,H00015,上证红利全收益指数,3517.53
20160727,H00015,上证红利全收益指数,3486.52
20160728,H00015,上证红利全收益指数,3520.53
20160729,H00015,上证红利全收益指数,3513.17
20160801,H00015,上证红利全收益指数,3493.19
20160802,H00015,上证红利全收益指数,3504.73
20160803,H00015,上证红利全收益指数,3505.66
20160804,H00015,上证红利全收益指数,3505.01
20160805,H00015,上证红利全收益指数,3506.57
20160808,H00015,上证红利全收益指数,3542.76
20160809,H00015,上证红利全收益指数,3569.32
20160810,H00015,上证红利全收益指数,3558.42
20160811,H00015,上证红利全收益指数,3549.51
20160812,H00015,上证红利全收益指数,3630.52
20160815,H00015,上证红利全收益指数,3712.41
20160816,H00015,上证红利全收益指数,3674.83
20160817,H00015,上证红利全收益指数,3683.98
20160818,H00015,上证红利全收益指数,3672.09
20160819,H00015,上证红利全收益指数,3682.0
20160822,H00015,上证红利全收益指数,3662.01
20160823,H00015,上证红利全收益指数,3657.93
20160824,H00015,上证红利全收益指数,3651.55
20160825,H00015,上证红利全收益指数,3632.07
20160826,H00015,上证红利全收益指数,3627.71
20160829,H00015,上证红利全收益指数,3626.48
20160830,H00015,上证红利全收益指数,3634.01
20160831,H00015,上证红利全收益指数,3648.79
20160901,H00015,上证红利全收益指数,3623.32
20160902,H00015,上证红利全收益指数,3633.39
20160905,H00015,上证红利全收益指数,3643.88
20160906,H00015,上证红利全收益指数,3657.36
20160907,H00015,上证红利全收益指数,3663.23
20160908,H00015,上证红利全收益指数,3672.75
20160909,H00015,上证红利全收益指数,3643.57
20160912,H00015,上证红利全收益指数,3589.99
20160913,H00015,上证红利全收益指数,3584.59
20160914,H00015,上证红利全收益指数,3550.4
20160919,H00015,上证红利全收益指数,3584.45
20160920,H00015,上证红利全收益指数,3591.25
20160921,H00015,上证红利全收益指数,3592.26
20160922,H00015,上证红利全收益指数,3616.88
20160923,H00015,上证红利全收益指数,3601.09
20160926,H00015,上证红利全收益指数,3550.51
20160927,H00015,上证红利全收益指数,3566.45
20160928,H00015,上证红利全收益指数,3560.51
20160929,H00015,上证红利全收益指数,3570.89
20160930,H00015,上证红利全收益指数,3569.53
20161010,H00015,上证红利全收益指数,3625.58
20161011,H00015,上证红利全收益指数,3636.79
20161012,H00015,上证红利全收益指数,3623.45
20161013,H00015,上证红利全收益指数,3637.69
20161014,H00015,上证红利全收益指数,3638.24
20161017,H00015,上证红利全收益指数,3613.88
20161018,H00015,上证红利全收益指数,3664.77
20161019,H00015,上证红利全收益指数,3664.15
20161020,H00015,上证红利全收益指数,3665.41
20161021,H00015,上证红利全收益指数,3687.51
20161024,H00015,上证红利全收益指数,3732.67
20161025,H00015,上证红利全收益指数,3735.82
20161026,H00015,上证红利全收益指数,3704.65
20161027,H00015,上证红利全收益指数,3702.75
20161028,H00015,上证红利全收益指数,3688.73
20161031,H00015,上证红利全收益指数,3684.92
20161101,H00015,上证红利全收益指数,3704.23
20161102,H00015,上证红利全收益指数,3671.32
20161103,H00015,上证红利全收益指数,3700.33
20161104,H00015,上证红利全收益指数,3693.9
20161107,H00015,上证红利全收益指数,3713.06
20161108,H00015,上证红利全收益指数,3726.79
20161109,H00015,上证红利全收益指数,3702.75
20161110,H00015,上证红利全收益指数,3752.5
20161111,H00015,上证红利全收益指数,3773.0
20161114,H00015,上证红利全收益指数,3782.4
20161115,H00015,上证红利全收益指数,3772.87
20161116,H00015,上证红利全收益指数,3772.34
20161117,H00015,上证红利全收益指数,3784.06
20161118,H00015,上证红利全收益指数,3770.08
20161121,H00015,上证红利全收益指数,3803.55
20161122,H00015,上证红利全收益指数,3840.53
20161123,H00015,上证红利全收益指数,3843.71
20161124,H00015,上证红利全收益指数,3859.01
20161125,H00015,上证红利全收益指数,3898.21
20161128,H00015,上证红利全收益指数,3920.55
20161129,H00015,上证红利全收益指数,3946.24
20161130,H00015,上证红利全收益指数,3891.55
20161201,H00015,上证红利全收益指数,3930.42
20161202,H00015,上证红利全收益指数,3898.56
20161205,H00015,上证红利全收益指数,3855.4
20161206,H00015,上证红利全收益指数,3841.54
20161207,H00015,上证红利全收益指数,3862.94
20161208,H00015,上证红利全收益指数,3864.32
20161209,H00015,上证红利全收益指数,3898.78
20161212,H00015,上证红利全收益指数,3843.81
20161213,H00015,上证红利全收益指数,3818.11
20161214,H00015,上证红利全收益指数,3796.85
20161215,H00015,上证红利全收益指数,3727.41
20161216,H00015,上证红利全收益指数,3728.39
20161219,H00015,上证红利全收益指数,3720.49
20161220,H00015,上证红利全收益指数,3697.38
20161221,H00015,上证红利全收益指数,3735.31
20161222,H00015,上证红利全收益指数,3740.3
20161223,H00015,上证红利全收益指数,3708.36
20161226,H00015,上证红利全收益指数,3716.34
20161227,H00015,上证红利全收益指数,3706.8
20161228,H00015,上证红利全收益指数,3696.1
20161229,H00015,上证红利全收益指数,3691.96
20161230,H00015,上证红利全收益指数,3708.63
20170103,H00015,上证红利全收益指数,3740.71
20170104,H00015,上证红利全收益指数,3768.16
20170105,H00015,上证红利全收益指数,3772.99
20170106,H00015,上证红利全收益指数,3765.03
20170109,H00015,上证红利全收益指数,3782.9
20170110,H00015,上证红利全收益指数,3768.37
20170111,H00015,上证红利全收益指数,3742.51
20170112,H00015,上证红利全收益指数,3727.51
20170113,H00015,上证红利全收益指数,3749.73
20170116,H00015,上证红利全收益指数,3788.63
20170117,H00015,上证红利全收益指数,3783.0
20170118,H00015,上证红利全收益指数,3801.41
20170119,H00015,上证红利全收益指数,3792.45
20170120,H00015,上证红利全收益指数,3816.11
20170123,H00015,上证红利全收益指数,3814.87
20170124,H00015,上证红利全收益指数,3835.14
20170125,H00015,上证红利全收益指数,3844.23
20170126,H00015,上证红利全收益指数,3847.01
20170203,H00015,上证红利全收益指数,3816.63
20170206,H00015,上证红利全收益指数,3826.98
20170207,H00015,上证红利全收益指数,3829.33
20170208,H00015,上证红利全收益指数,3838.29
20170209,H00015,上证红利全收益指数,3852.52
20170210,H00015,上证红利全收益指数,3877.99
20170213,H00015,上证红利全收益指数,3889.68
20170214,H00015,上证红利全收益指数,3880.76
20170215,H00015,上证红利全收益指数,3895.13
20170216,H00015,上证红利全收益指数,3909.25
20170217,H00015,上证红利全收益指数,3878.84
20170220,H00015,上证红利全收益指数,3936.44
20170221,H00015,上证红利全收益指数,3940.37
20170222,H00015,上证红利全收益指数,3959.48
20170223,H00015,上证红利全收益指数,3945.47
20170224,H00015,上证红利全收益指数,3938.24
20170227,H00015,上证红利全收益指数,3913.61
20170228,H00015,上证红利全收益指数,3926.11
20170301,H00015,上证红利全收益指数,3926.41
20170302,H00015,上证红利全收益指数,3907.91
20170303,H00015,上证红利全收益指数,3906.16
20170306,H00015,上证红利全收益指数,3910.65
20170307,H00015,上证红利全收益指数,3911.9
20170308,H00015,上证红利全收益指数,3905.77
20170309,H00015,上证红利全收益指数,3876.19
20170310,H00015,上证红利全收益指数,3874.08
20170313,H00015,上证红利全收益指数,3914.24
20170314,H00015,上证红利全收益指数,3916.84
20170315,H00015,上证红利全收益指数,3928.06
20170316,H00015,上证红利全收益指数,3939.0
20170317,H00015,上证红利全收益指数,3893.64
20170320,H00015,上证红利全收益指数,3915.23
20170321,H00015,上证红利全收益指数,3938.87
20170322,H00015,上证红利全收益指数,3908.94
20170323,H00015,上证红利全收益指数,3914.14
20170324,H00015,上证红利全收益指数,3951.97
20170327,H00015,上证红利全收益指数,3952.39
20170328,H00015,上证红利全收益指数,3937.95
20170329,H00015,上证红利全收益指数,3934.74
20170330,H00015,上证红利全收益指数,3925.55
20170331,H00015,上证红利全收益指数,3960.73
20170405,H00015,上证红利全收益指数,4004.66
20170406,H00015,上证红利全收益指数,4007.86
20170407,H00015,上证红利全收益指数,4011.74
20170410,H00015,上证红利全收益指数,4012.71
20170411,H00015,上证红利全收益指数,4015.56
20170412,H00015,上证红利全收益指数,4003.8
20170413,H00015,上证红利全收益指数,4006.57
20170414,H00015,上证红利全收益指数,3976.34
20170417,H00015,上证红利全收益指数,3962.45
20170418,H00015,上证红利全收益指数,3936.14
20170419,H00015,上证红利全收益指数,3913.63
20170420,H00015,上证红利全收益指数,3926.78
20170421,H00015,上证红利全收益指数,3949.89
20170424,H00015,上证红利全收益指数,3921.37
20170425,H00015,上证红利全收益指数,3924.85
20170426,H00015,上证红利全收益指数,3930.95
20170427,H00015,上证红利全收益指数,3930.85
20170428,H00015,上证红利全收益指数,3912.88
20170502,H00015,上证红利全收益指数,3886.38
20170503,H00015,上证红利全收益指数,3869.09
20170504,H00015,上证红利全收益指数,3861.67
20170505,H00015,上证红利全收益指数,3854.12
20170508,H00015,上证红利全收益指数,3856.42
20170509,H00015,上证红利全收益指数,3852.41
20170510,H00015,上证红利全收益指数,3827.3
20170511,H00015,上证红利全收益指数,3853.85
20170512,H00015,上证红利全收益指数,3891.19
20170515,H00015,上证红利全收益指数,3915.73
20170516,H00015,上证红利全收益指数,3935.79
20170517,H00015,上证红利全收益指数,3916.64
20170518,H00015,上证红利全收益指数,3899.36
20170519,H00015,上证红利全收益指数,3900.52
20170522,H00015,上证红利全收益指数,3906.96
20170523,H00015,上证红利全收益指数,3934.46
20170524,H00015,上证红利全收益指数,3934.24
20170525,H00015,上证红利全收益指数,3992.26
20170526,H00015,上证红利全收益指数,4005.73
20170531,H00015,上证红利全收益指数,4020.13
20170601,H00015,上证红利全收益指数,4037.45
20170602,H00015,上证红利全收益指数,4034.6
20170605,H00015,上证红利全收益指数,4000.98
20170606,H00015,上证红利全收益指数,4014.6
20170607,H00015,上证红利全收益指数,4049.2
20170608,H00015,上证红利全收益指数,4088.36
20170609,H00015,上证红利全收益指数,4100.53
20170612,H00015,上证红利全收益指数,4106.6
20170613,H00015,上证红利全收益指数,4118.16
20170614,H00015,上证红利全收益指数,4070.69
20170615,H00015,上证红利全收益指数,4047.56
20170616,H00015,上证红利全收益指数,4026.53
20170619,H00015,上证红利全收益指数,4049.86
20170620,H00015,上证红利全收益指数,4039.04
